,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Los Angeles Lakers,21,16,5,0.762,48.0,112.8,41.0,84.0,48.9,12.1,34.2,35.4,18.6,24.6,75.8,10.6,33.5,44.1,25.6,15.4,8.0,5.3,3.1,22.7,22.4,6.9,1610612747
1,2,Miami Heat,21,14,7,0.667,48.5,110.0,37.7,82.0,46.0,12.8,35.5,35.9,21.8,26.4,82.5,7.8,33.6,41.3,24.9,13.2,6.9,3.9,4.5,19.9,22.6,2.0,1610612748
2,3,Toronto Raptors,11,7,4,0.636,48.9,109.4,39.1,88.5,44.2,14.6,40.3,36.3,16.5,21.3,77.8,8.2,36.5,44.6,24.8,13.1,7.1,5.5,5.0,22.5,20.3,4.1,1610612761
3,4,Boston Celtics,17,10,7,0.588,48.9,109.4,38.6,84.9,45.4,12.4,36.4,34.1,19.8,24.2,81.6,8.8,36.5,45.2,22.6,13.9,6.7,4.8,4.8,22.3,22.0,5.0,1610612738
4,5,LA Clippers,13,7,6,0.5379999999999999,48.4,114.0,40.9,86.4,47.4,12.1,32.8,36.8,20.1,25.2,79.8,9.5,34.5,44.0,21.2,13.0,7.5,3.7,4.1,22.9,22.3,4.2,1610612746
5,6,Milwaukee Bucks,10,5,5,0.5,48.5,111.1,40.1,87.1,46.0,13.3,37.1,35.8,17.6,24.3,72.4,9.4,37.3,46.7,24.3,14.9,7.2,4.2,3.6,21.7,21.2,1.2,1610612749
6,7,Denver Nuggets,19,9,10,0.474,48.3,107.4,38.8,82.5,47.1,12.3,32.4,37.9,17.5,21.4,81.6,9.3,31.4,40.6,22.5,13.9,6.2,4.0,4.0,22.4,22.1,-2.3,1610612743
7,8,Oklahoma City Thunder,7,3,4,0.429,48.7,104.0,36.7,85.4,43.0,12.0,36.6,32.8,18.6,24.0,77.4,9.0,40.9,49.9,17.9,17.0,5.3,4.0,3.9,17.1,23.0,-6.4,1610612760
8,8,Utah Jazz,7,3,4,0.429,48.7,113.4,39.9,81.9,48.7,15.7,37.3,42.1,18.0,23.3,77.3,9.3,31.9,41.1,21.4,12.0,6.1,3.1,4.6,19.0,21.3,3.4,1610612762
9,10,Houston Rockets,12,5,7,0.41700000000000004,48.4,107.7,37.4,85.8,43.6,16.9,46.8,36.2,15.9,20.2,78.9,6.7,32.2,38.8,21.3,13.4,9.1,3.5,4.9,22.2,18.6,0.8,1610612745
10,11,Dallas Mavericks,6,2,4,0.33299999999999996,48.8,117.0,42.2,89.2,47.3,13.5,37.5,36.0,19.2,26.5,72.3,7.7,35.5,43.2,21.5,12.7,6.5,3.7,3.3,22.5,24.5,-9.7,1610612742
11,12,Orlando Magic,5,1,4,0.2,48.0,107.0,37.2,88.6,42.0,15.0,39.8,37.7,17.6,21.0,83.8,6.6,36.4,43.0,23.8,14.6,6.8,3.2,3.8,21.0,20.6,-9.2,1610612753
12,12,Portland Trail Blazers,5,1,4,0.2,48.0,106.6,37.6,88.2,42.6,11.6,30.6,37.9,19.8,25.0,79.2,9.8,33.0,42.8,17.8,16.0,7.4,3.6,5.8,25.0,22.8,-10.6,1610612757
13,14,Brooklyn Nets,4,0,4,0.0,48.0,105.8,36.3,91.3,39.7,15.5,46.0,33.7,17.8,24.5,72.4,9.3,35.0,44.3,25.8,14.5,5.0,4.5,5.5,21.3,22.5,-20.5,1610612751
14,14,Indiana Pacers,4,0,4,0.0,48.0,100.8,36.5,80.3,45.5,12.0,32.0,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,15.3,9.3,5.5,4.3,23.3,15.8,-10.5,1610612754
15,14,Philadelphia 76ers,4,0,4,0.0,48.0,100.5,33.3,84.0,39.6,8.0,30.3,26.4,26.0,32.0,81.3,12.3,33.8,46.0,17.5,12.0,5.0,4.5,5.5,22.3,24.3,-11.8,1610612755
