,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Cleveland Cavaliers,82,66,16,0.805,48.2,100.3,36.9,78.7,46.8,8.0,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,8.9,1610612739
1,2,Los Angeles Lakers,82,65,17,0.7929999999999999,48.2,106.9,40.3,85.1,47.4,6.7,18.5,36.1,19.6,25.5,77.0,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1,7.7,1610612747
2,3,Boston Celtics,82,62,20,0.7559999999999999,48.5,100.9,37.5,77.2,48.6,6.6,16.5,39.7,19.4,25.3,76.5,10.6,31.5,42.1,22.7,15.6,7.6,4.7,4.7,23.1,22.2,7.5,1610612738
3,4,Orlando Magic,82,59,23,0.72,48.1,101.0,35.7,78.2,45.7,10.0,26.2,38.1,19.6,27.5,71.5,10.0,33.3,43.3,19.4,13.9,7.0,5.4,3.8,20.3,22.4,6.7,1610612753
4,5,Denver Nuggets,82,54,28,0.659,48.1,104.3,37.3,79.4,47.0,6.7,18.0,37.1,23.1,30.3,76.0,11.0,30.6,41.6,22.2,15.3,8.7,6.0,5.5,22.9,23.7,3.4,1610612743
5,5,Portland Trail Blazers,82,54,28,0.659,48.4,99.4,36.8,79.2,46.5,7.3,19.0,38.3,18.5,24.2,76.5,12.9,28.8,41.7,20.3,12.9,6.7,4.9,3.9,20.4,21.1,5.3,1610612757
6,5,San Antonio Spurs,82,54,28,0.659,48.5,97.0,37.1,79.7,46.6,7.6,19.8,38.6,15.2,20.0,76.1,8.9,32.2,41.0,21.2,11.7,5.8,4.0,4.3,18.9,18.4,3.8,1610612759
7,8,Houston Rockets,82,53,29,0.6459999999999999,48.3,98.4,36.1,79.6,45.3,7.6,20.2,37.5,18.7,23.2,80.5,10.5,32.5,43.0,20.3,14.1,6.7,4.3,5.3,18.9,20.6,4.0,1610612745
8,9,Dallas Mavericks,82,50,32,0.61,48.3,101.7,38.1,82.6,46.2,7.0,19.9,35.0,18.5,22.6,81.9,11.1,31.6,42.7,21.7,12.7,7.2,5.2,4.1,19.5,20.1,2.0,1610612742
9,10,New Orleans Hornets,82,49,33,0.598,48.2,95.8,35.5,77.6,45.7,6.8,18.6,36.4,18.0,22.4,80.7,9.8,29.9,39.7,19.6,12.5,7.2,4.1,3.5,20.3,20.4,1.5,1610612740
10,11,Utah Jazz,82,48,34,0.585,48.5,103.6,38.3,80.8,47.5,4.8,13.7,34.9,22.1,28.7,77.1,11.5,29.5,41.0,24.7,14.8,8.8,4.6,5.2,22.3,24.0,2.6,1610612762
11,12,Atlanta Hawks,82,47,35,0.573,48.1,98.1,36.0,78.7,45.8,7.3,19.9,36.6,18.7,25.4,73.7,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,19.6,20.5,1.6,1610612737
12,13,Phoenix Suns,82,46,36,0.561,48.2,109.4,41.1,81.6,50.4,6.7,17.6,38.3,20.4,27.5,74.4,11.0,30.7,41.7,23.2,15.7,7.2,5.1,4.5,20.6,22.9,1.9,1610612756
13,14,Miami Heat,82,43,39,0.524,48.7,98.3,37.0,81.0,45.7,7.1,19.9,35.7,17.2,22.8,75.4,10.1,29.4,39.5,20.4,12.5,7.9,5.5,4.1,20.7,19.9,0.3,1610612748
14,15,Chicago Bulls,82,41,41,0.5,48.6,102.2,38.1,83.5,45.7,6.0,15.8,38.1,19.9,25.0,79.6,11.8,30.3,42.1,21.1,14.5,7.5,5.5,5.5,20.8,20.8,-0.3,1610612741
15,15,Philadelphia 76ers,82,41,41,0.5,48.2,97.4,36.5,79.7,45.9,4.2,13.1,31.8,20.1,27.0,74.5,12.7,28.5,41.2,20.1,14.1,8.0,5.1,4.9,20.1,21.8,0.1,1610612755
16,17,Detroit Pistons,82,39,43,0.47600000000000003,48.5,94.2,36.4,80.0,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,11.9,6.0,4.6,4.2,20.9,19.7,-0.5,1610612765
17,18,Indiana Pacers,82,36,46,0.439,48.4,105.1,39.3,86.3,45.5,8.0,21.0,37.8,18.6,23.0,80.7,11.3,32.5,43.7,21.6,14.5,7.0,5.3,5.4,23.1,20.6,-1.1,1610612754
18,19,Charlotte Bobcats,82,35,47,0.42700000000000005,48.6,93.6,35.0,76.8,45.5,6.0,16.3,36.6,17.7,24.0,74.0,10.8,28.9,39.7,21.2,15.6,7.1,4.8,6.0,21.4,20.9,-1.3,1610612766
19,20,Milwaukee Bucks,82,34,48,0.415,48.2,99.3,36.7,82.4,44.5,6.2,17.2,36.3,19.7,25.2,78.0,11.9,28.9,40.7,22.0,14.1,7.4,3.8,4.6,24.2,22.5,-1.1,1610612749
20,20,New Jersey Nets,82,34,48,0.415,48.4,98.1,35.7,79.7,44.8,8.0,21.2,37.6,18.8,24.1,77.9,10.4,29.5,39.8,20.0,13.1,6.8,4.8,4.8,22.4,20.5,-2.4,1610612751
21,22,Toronto Raptors,82,33,49,0.402,48.3,99.0,37.2,81.4,45.8,5.8,15.7,37.2,18.7,22.7,82.4,9.8,30.6,40.4,22.4,13.4,6.4,4.8,4.7,19.4,20.1,-2.8,1610612761
22,23,New York Knicks,82,32,50,0.39,48.3,105.2,38.5,86.5,44.5,10.0,27.9,36.0,18.2,23.2,78.4,11.1,31.0,42.1,21.2,14.3,7.4,2.5,5.3,20.4,19.4,-2.6,1610612752
23,24,Golden State Warriors,82,29,53,0.354,48.5,108.6,39.4,86.0,45.8,6.7,18.0,37.3,23.1,29.2,79.1,11.6,30.4,42.0,20.9,14.6,7.8,6.4,5.0,22.5,23.5,-3.7,1610612744
24,25,Memphis Grizzlies,82,24,58,0.293,48.3,93.9,34.9,77.0,45.4,4.9,13.5,36.0,19.1,25.3,75.6,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8,-5.5,1610612763
25,25,Minnesota Timberwolves,82,24,58,0.293,48.3,97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20.0,-4.9,1610612750
26,27,Oklahoma City Thunder,82,23,59,0.28,48.3,97.0,36.6,81.9,44.7,4.0,11.6,34.6,19.8,25.2,78.6,12.2,30.5,42.6,20.3,16.2,7.4,4.5,5.0,20.2,20.2,-6.1,1610612760
27,28,Los Angeles Clippers,82,19,63,0.23199999999999998,48.5,95.1,36.0,81.7,44.1,6.5,18.5,35.4,16.5,22.4,73.6,10.9,29.0,39.8,21.0,14.9,7.0,5.9,5.0,20.1,19.6,-8.8,1610612746
28,28,Washington Wizards,82,19,63,0.23199999999999998,48.1,96.1,36.5,81.2,45.0,4.8,14.6,33.0,18.2,23.8,76.7,11.7,28.4,40.1,20.0,14.0,7.5,4.5,5.3,20.5,20.0,-7.5,1610612764
29,30,Sacramento Kings,82,17,65,0.207,48.5,100.6,36.5,81.5,44.7,7.1,19.4,36.8,20.5,25.7,79.8,10.2,28.9,39.1,19.7,15.4,6.9,4.3,5.2,23.3,21.2,-8.8,1610612758
