,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Cleveland Cavaliers,14,10,4,0.7140000000000001,48.4,97.6,34.8,75.1,46.3,6.6,19.8,33.6,21.4,28.8,74.2,10.1,30.2,40.3,19.1,12.4,6.6,4.6,3.3,20.6,22.6,8.5,1610612739
1,2,Los Angeles Lakers,23,16,7,0.696,48.4,102.4,37.4,80.5,46.5,7.0,18.4,37.7,20.6,27.5,74.7,11.1,30.9,42.0,19.4,13.0,7.9,6.3,4.3,23.5,23.1,7.2,1610612747
2,3,Denver Nuggets,16,10,6,0.625,48.0,107.9,37.3,78.4,47.5,8.1,21.1,38.3,25.4,33.4,75.9,10.7,29.6,40.3,22.6,12.1,9.2,5.2,4.4,25.8,25.5,8.6,1610612743
3,4,Orlando Magic,24,13,11,0.542,48.6,97.0,34.5,75.4,45.7,8.4,23.3,36.0,19.6,27.1,72.2,8.3,30.0,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,1.8,1610612753
4,5,Houston Rockets,13,7,6,0.5379999999999999,48.0,91.5,34.0,76.1,44.7,6.6,20.2,32.8,16.8,21.9,76.8,9.7,30.8,40.5,17.0,14.2,6.2,3.2,7.1,20.1,21.4,-1.5,1610612745
5,6,Boston Celtics,14,7,7,0.5,50.5,102.1,37.4,84.1,44.5,6.7,18.6,36.0,20.6,26.0,79.1,10.9,32.4,43.2,22.9,13.6,7.8,4.9,6.5,24.3,22.7,0.0,1610612738
6,6,Dallas Mavericks,10,5,5,0.5,48.0,101.6,35.6,75.7,47.0,7.3,20.6,35.4,23.1,28.4,81.3,9.2,31.5,40.7,18.1,13.0,6.5,3.8,4.1,22.8,23.7,-0.9,1610612742
7,8,Chicago Bulls,7,3,4,0.429,53.0,108.3,38.4,87.1,44.1,7.3,19.3,37.8,24.1,29.9,80.9,10.4,35.1,45.6,19.9,16.1,6.7,8.1,6.7,24.6,23.6,-4.3,1610612741
8,8,Miami Heat,7,3,4,0.429,48.0,88.1,31.3,69.6,45.0,7.1,20.0,35.7,18.4,22.6,81.6,8.9,29.9,38.7,15.0,13.4,6.1,5.7,3.6,22.1,21.3,0.9,1610612748
9,10,Atlanta Hawks,11,4,7,0.364,48.0,84.0,30.1,73.6,40.9,6.1,17.5,34.7,17.7,23.8,74.4,10.7,24.2,34.9,16.9,12.1,6.9,3.4,5.5,21.4,21.1,-7.1,1610612737
10,11,Philadelphia 76ers,6,2,4,0.33299999999999996,48.0,88.5,34.0,75.0,45.3,5.8,15.8,36.8,14.7,20.7,71.0,8.0,28.8,36.8,17.8,14.7,6.2,3.0,5.0,23.0,20.2,-7.7,1610612755
11,11,Portland Trail Blazers,6,2,4,0.33299999999999996,48.0,87.2,33.3,74.5,44.7,5.5,14.2,38.8,15.0,19.7,76.3,9.8,26.5,36.3,14.7,11.3,6.0,7.5,3.3,21.7,20.0,-5.3,1610612757
12,13,New Orleans Hornets,5,1,4,0.2,48.0,84.2,27.8,70.2,39.6,6.0,18.4,32.6,22.6,28.0,80.7,9.2,27.8,37.0,15.8,18.4,6.6,2.6,5.2,24.8,24.8,-24.2,1610612740
13,13,San Antonio Spurs,5,1,4,0.2,48.0,90.4,35.0,76.6,45.7,5.8,17.6,33.0,14.6,20.6,70.9,8.8,28.8,37.6,16.0,11.0,5.6,3.0,4.6,22.0,18.6,-6.0,1610612759
14,13,Utah Jazz,5,1,4,0.2,48.0,97.4,35.0,81.0,43.2,5.0,14.6,34.2,22.4,30.2,74.2,13.2,29.4,42.6,25.4,14.6,9.8,3.4,5.6,23.8,24.4,-9.2,1610612762
15,16,Detroit Pistons,4,0,4,0.0,48.0,78.0,31.5,77.0,40.9,3.0,12.3,24.5,12.0,14.5,82.8,7.5,26.0,33.5,16.5,11.3,4.3,3.0,4.5,23.8,15.8,-15.5,1610612765
