,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,* --UTAHUtah Jazz,52,20,0.722,-,31-5,21-15,7-5,28-14,116.4,107.2,9.2,W2,7-3
1,y --PHXPhoenix Suns,51,21,0.708,1,27-9,24-12,7-5,30-12,115.3,109.5,5.8,W3,7-3
2,z --PHIPhiladelphia 76ers,49,23,0.6809999999999999,3,29-7,20-16,10-2,31-11,113.6,108.1,5.5,W2,8-2
3,x --BKNBrooklyn Nets,48,24,0.667,4,28-8,20-16,8-4,26-16,118.6,114.1,4.5,W5,6-4
4,x --DENDenver Nuggets,47,25,0.653,5,25-11,22-14,9-3,26-16,115.1,110.1,5.0,L1,6-4
5,x --LACLA Clippers,47,25,0.653,5,26-10,21-15,9-3,27-15,114.0,107.8,6.2,L2,4-6
6,y --MILMilwaukee Bucks,46,26,0.639,6,26-10,20-16,11-1,30-12,120.1,114.2,5.9,L1,8-2
7,y --DALDallas Mavericks,42,30,0.583,10,21-15,21-15,7-5,21-21,112.4,110.2,2.2,L1,8-2
8,xp --LALLos Angeles Lakers,42,30,0.583,10,21-15,21-15,4-8,25-17,109.5,106.8,2.7,W5,6-4
9,x --PORPortland Trail Blazers,42,30,0.583,10,20-16,22-14,6-6,23-19,116.1,114.3,1.8,W1,8-2
10,y --ATLAtlanta Hawks,41,31,0.569,11,25-11,16-20,9-3,24-18,113.7,111.4,2.3,W4,7-3
11,x --NYNew York Knicks,41,31,0.569,11,25-11,16-20,4-8,25-17,107.0,104.7,2.3,W3,7-3
12,x --MIAMiami Heat,40,32,0.556,12,21-15,19-17,6-6,24-18,108.1,108.0,0.1,W1,8-2
13,pb --GSGolden State Warriors,39,33,0.542,13,25-11,14-22,5-7,25-17,113.7,112.7,1.0,W6,8-2
14,xp --MEMMemphis Grizzlies,38,34,0.528,14,18-18,20-16,6-6,19-23,113.3,112.3,1.0,L1,6-4
15,xp --BOSBoston Celtics,36,36,0.5,16,21-15,15-21,4-8,20-22,112.6,111.2,1.4,L1,4-6
16,xp --WSHWashington Wizards,34,38,0.47200000000000003,18,19-17,15-21,3-9,16-26,116.6,118.5,-1.9,W2,6-4
17,pb --INDIndiana Pacers,34,38,0.47200000000000003,18,13-23,21-15,7-5,20-22,115.3,115.3,0.0,W1,5-5
18,pb --SASan Antonio Spurs,33,39,0.45799999999999996,19,14-22,19-17,6-6,17-25,111.1,112.8,-1.7,L4,2-8
19,pb --CHACharlotte Hornets,33,39,0.45799999999999996,19,18-18,15-21,8-4,20-22,109.5,111.4,-1.9,L5,3-7
20,e --NONew Orleans Pelicans,31,41,0.431,21,18-18,13-23,6-6,18-24,114.6,114.9,-0.3,L4,4-6
21,e --CHIChicago Bulls,31,41,0.431,21,15-21,16-20,7-5,21-21,110.7,111.6,-0.9,W1,5-5
22,e --SACSacramento Kings,31,41,0.431,21,16-20,15-21,5-7,18-24,113.7,117.4,-3.7,L3,6-4
23,e --TORToronto Raptors,27,45,0.375,25,16-20,11-25,4-8,17-25,111.3,111.7,-0.4,L7,1-9
24,e --MINMinnesota Timberwolves,23,49,0.319,29,13-23,10-26,5-7,15-27,112.1,117.7,-5.6,W1,5-5
25,e --CLECleveland Cavaliers,22,50,0.306,30,13-23,9-27,4-8,16-26,103.8,112.3,-8.5,L2,1-9
26,e --OKCOklahoma City Thunder,22,50,0.306,30,10-26,12-24,3-9,12-30,105.0,115.6,-10.6,W1,1-9
27,e --ORLOrlando Magic,21,51,0.292,31,11-25,10-26,4-8,13-29,104.0,113.3,-9.3,L7,2-8
28,e --DETDetroit Pistons,20,52,0.278,32,13-23,7-29,1-11,12-30,106.6,111.1,-4.5,L5,1-9
29,e --HOUHouston Rockets,17,55,0.23600000000000002,35,9-27,8-28,5-7,11-31,108.8,116.7,-7.9,L1,2-8
