,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Dallas Mavericks,21,16,5,0.762,48.2,98.2,34.5,74.9,46.1,8.8,22.2,39.4,20.5,25.4,80.9,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,5.8,1610612742
1,2,Miami Heat,21,14,7,0.667,48.5,92.8,32.6,73.3,44.5,5.9,17.9,33.1,21.6,27.8,77.7,10.1,30.9,41.0,16.5,13.9,7.3,6.0,4.2,19.2,21.5,2.7,1610612748
2,3,Chicago Bulls,16,9,7,0.563,48.3,92.5,34.0,80.6,42.2,6.3,19.2,32.9,18.2,23.2,78.4,13.4,30.2,43.6,20.1,13.6,7.3,6.6,6.4,21.3,19.6,4.3,1610612741
3,4,Boston Celtics,9,5,4,0.556,48.6,94.7,35.8,76.9,46.5,7.4,16.0,46.5,15.7,20.1,77.9,8.9,30.1,39.0,21.0,15.7,7.3,4.2,6.4,21.9,19.7,1.3,1610612738
4,5,Memphis Grizzlies,13,7,6,0.5379999999999999,49.9,98.6,36.7,84.0,43.7,3.8,12.1,31.8,21.4,28.2,76.0,12.5,30.6,43.1,18.8,13.1,8.0,6.0,6.8,23.6,23.7,-0.7,1610612763
5,6,Oklahoma City Thunder,17,9,8,0.529,49.5,102.5,35.3,79.7,44.3,6.3,19.9,31.6,25.6,31.4,81.6,13.1,32.9,45.9,17.6,15.4,6.8,7.6,5.2,25.0,23.1,1.9,1610612760
6,7,Atlanta Hawks,12,6,6,0.5,48.0,86.3,32.9,75.8,43.4,4.5,13.9,32.3,15.9,21.9,72.6,9.0,28.2,37.2,18.1,12.4,6.3,5.0,5.3,20.3,20.0,-4.4,1610612737
7,8,Los Angeles Lakers,10,4,6,0.4,48.0,93.2,34.7,77.8,44.6,4.8,16.6,28.9,19.0,24.5,77.6,12.6,28.3,40.9,18.9,12.5,6.9,5.1,3.7,20.6,21.6,-1.3,1610612747
8,9,New Orleans Hornets,6,2,4,0.33299999999999996,48.0,89.3,32.8,71.8,45.7,4.5,14.0,32.1,19.2,25.8,74.2,7.7,25.8,33.5,20.2,12.8,7.2,3.0,5.8,23.7,21.2,-7.2,1610612740
9,9,Orlando Magic,6,2,4,0.33299999999999996,48.0,88.7,31.0,75.8,40.9,6.2,23.5,26.2,20.5,27.8,73.7,11.8,30.5,42.3,14.5,12.8,6.5,4.0,3.8,21.5,24.2,1.8,1610612753
10,9,Portland Trail Blazers,6,2,4,0.33299999999999996,48.0,88.2,33.2,73.2,45.3,5.0,16.7,30.0,16.8,21.5,78.3,9.2,28.5,37.7,17.0,11.5,5.7,5.2,3.7,20.8,19.5,-5.2,1610612757
11,9,San Antonio Spurs,6,2,4,0.33299999999999996,48.8,94.3,33.7,77.2,43.6,5.3,18.2,29.4,21.7,28.5,76.0,10.2,31.5,41.7,17.8,14.3,7.3,5.8,4.8,21.5,24.5,-3.2,1610612759
12,13,Denver Nuggets,5,1,4,0.2,48.0,97.4,32.6,77.0,42.3,6.8,18.4,37.0,25.4,36.0,70.6,7.4,30.6,38.0,17.6,12.2,6.6,3.6,8.6,23.8,25.0,-4.8,1610612743
13,13,Indiana Pacers,5,1,4,0.2,48.0,90.2,32.8,80.2,40.9,5.8,15.4,37.7,18.8,24.4,77.0,13.0,25.4,38.4,16.0,15.2,8.2,5.6,7.6,23.0,22.2,-7.4,1610612754
14,13,Philadelphia 76ers,5,1,4,0.2,48.0,86.6,33.8,81.6,41.4,6.4,16.4,39.0,12.6,17.4,72.4,10.6,30.0,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,-7.4,1610612755
15,16,New York Knicks,4,0,4,0.0,48.0,90.8,32.0,83.0,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26.0,40.5,16.8,15.3,6.5,6.8,5.0,18.8,21.0,-8.5,1610612752
