,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Allen Iverson,PHI,30,75,41,34,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,0.7,3.3,4.0,7.9,4.6,2.4,0.1,1.9,50.4,24,0,0.2
1,2,Kobe Bryant,LAL,26,66,28,38,40.8,27.6,8.7,20.1,43.3,2.0,5.9,33.9,8.2,10.1,81.6,1.4,4.5,5.9,6.0,4.1,1.3,0.8,2.6,46.0,18,5,-1.8
2,3,LeBron James,CLE,20,80,41,39,42.3,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6.0,8.0,75.0,1.4,6.0,7.4,7.2,3.3,2.2,0.7,1.8,52.1,25,4,1.9
3,4,Dirk Nowitzki,DAL,27,78,56,22,38.8,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,1.2,8.5,9.7,3.1,2.3,1.2,1.5,2.8,48.4,37,0,7.5
4,5,Amar'e Stoudemire,PHX,22,80,60,20,36.1,26.0,9.3,16.7,55.9,0.0,0.2,18.8,7.3,9.9,73.3,2.7,6.2,8.9,1.6,2.4,1.0,1.6,3.5,44.6,27,0,7.6
5,6,Tracy McGrady,HOU,26,78,49,29,40.9,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,0.9,5.3,6.2,5.7,2.6,1.7,0.7,2.1,46.4,13,0,3.7
6,7,Gilbert Arenas,WAS,23,80,44,36,41.0,25.5,8.2,19.0,43.1,2.6,7.0,36.5,6.5,8.0,81.4,1.0,3.7,4.7,5.1,3.0,1.7,0.3,3.1,41.9,2,0,1.2
7,8,Metta World Peace,IND,25,7,6,1,41.4,24.6,8.4,17.0,49.6,1.0,2.4,41.2,6.7,7.3,92.2,1.1,5.3,6.4,3.1,2.4,1.7,0.9,3.9,42.3,0,0,5.7
8,9,Vince Carter,NJN,28,77,40,37,36.9,24.5,9.0,20.0,45.2,1.6,4.1,40.6,4.8,6.0,79.8,1.4,3.8,5.2,4.2,2.2,1.4,0.6,3.2,41.0,7,0,0.5
9,10,Jermaine O'Neal,IND,26,44,23,21,35.0,24.3,8.8,19.4,45.2,0.0,0.1,16.7,6.7,8.9,75.4,1.9,6.9,8.8,1.9,3.0,0.6,2.0,3.9,42.4,17,0,0.8
10,11,Dwyane Wade,MIA,23,77,56,21,38.7,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,1.4,3.7,5.2,6.8,4.2,1.6,1.1,3.0,44.1,16,1,5.2
11,12,Ray Allen,SEA,29,78,50,28,39.3,23.9,8.2,19.2,42.8,2.7,7.1,37.6,4.8,5.5,88.3,1.0,3.4,4.4,3.7,2.2,1.1,0.1,2.1,36.1,1,0,3.5
12,13,Michael Redd,MIL,25,75,28,47,38.0,23.0,8.3,18.9,44.1,1.4,3.9,35.5,4.9,5.8,85.4,1.0,3.2,4.2,2.3,1.8,0.8,0.1,2.0,32.5,1,0,-2.6
13,14,Shaquille O'Neal,MIA,33,73,53,20,34.2,22.9,9.0,15.0,60.1,0.0,0.0,0.0,4.8,10.5,46.1,3.5,6.9,10.4,2.7,2.8,0.5,2.3,3.6,45.2,43,0,6.5
14,15,Richard Jefferson,NJN,25,33,12,21,41.3,22.2,7.2,17.1,42.2,0.9,2.7,33.7,6.9,8.2,84.4,1.5,5.8,7.3,4.0,4.0,1.0,0.5,3.3,37.5,9,0,-3.8
15,16,Corey Maggette,LAC,25,66,27,39,37.1,22.2,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10.0,85.7,1.1,4.9,6.0,3.4,3.0,1.1,0.1,2.9,35.1,10,0,-0.3
16,17,Kevin Garnett,MIN,29,82,44,38,38.1,22.2,8.3,16.6,50.2,0.1,0.3,24.0,5.4,6.7,81.1,3.0,10.5,13.5,5.7,2.7,1.5,1.4,2.5,52.7,69,1,1.7
17,18,Larry Hughes,WAS,26,61,35,26,38.6,22.0,7.7,17.8,43.0,1.0,3.4,28.2,5.8,7.4,77.7,1.2,5.0,6.3,4.7,2.5,2.9,0.3,2.8,43.6,7,1,1.5
18,19,Stephon Marbury,NYK,28,82,33,49,40.2,21.7,7.4,16.0,46.2,1.4,4.0,35.4,5.6,6.7,83.4,0.6,2.4,3.0,8.1,2.8,1.5,0.1,2.3,39.4,24,0,-0.3
19,20,Jason Richardson,GSW,24,72,33,39,37.8,21.7,8.5,19.0,44.6,1.7,5.1,33.8,3.0,4.3,69.3,1.7,4.2,5.9,3.9,2.3,1.5,0.4,2.2,37.9,9,0,-1.9
20,21,Paul Pierce,BOS,27,82,45,37,36.1,21.6,6.8,14.9,45.5,1.3,3.6,37.0,6.7,8.1,82.2,1.0,5.6,6.6,4.2,2.8,1.6,0.5,3.1,39.3,17,2,2.2
21,22,Steve Francis,ORL,28,78,35,43,38.1,21.3,7.2,17.1,42.3,0.5,1.6,29.9,6.4,7.8,82.3,1.6,4.2,5.8,7.0,4.1,1.4,0.4,3.5,40.1,21,0,-0.7
22,23,Carmelo Anthony,DEN,21,75,47,28,34.8,20.8,7.1,16.4,43.1,0.6,2.1,26.6,6.1,7.6,79.6,1.9,3.8,5.7,2.6,3.0,0.9,0.4,3.1,32.4,4,0,2.2
23,24,Rashard Lewis,SEA,25,71,48,23,38.1,20.5,7.5,16.2,46.2,2.4,6.1,40.0,3.1,4.0,77.7,1.5,3.9,5.5,1.3,1.7,1.1,0.9,2.2,33.1,7,0,4.6
24,25,Tim Duncan,SAS,29,66,50,16,33.4,20.3,7.8,15.8,49.6,0.0,0.1,33.3,4.6,6.9,67.0,3.1,8.0,11.1,2.7,1.9,0.7,2.6,2.2,45.7,44,0,10.5
