,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,San Antonio Spurs,23,16,7,0.696,48.2,106.3,39.7,80.9,49.1,8.8,21.6,40.9,18.0,23.5,76.7,9.4,32.6,42.0,22.2,12.6,8.1,3.5,3.7,19.8,21.6,9.3,1610612759
1,2,Miami Heat,20,13,7,0.65,48.0,97.3,35.4,72.2,49.1,9.3,23.5,39.6,17.2,22.0,78.0,6.0,28.1,34.0,18.3,12.2,7.4,3.9,2.8,20.7,19.6,1.8,1610612748
2,3,Washington Wizards,11,6,5,0.545,48.5,90.4,34.5,79.7,43.2,5.6,16.8,33.5,15.8,22.7,69.6,11.7,33.2,44.9,19.5,12.8,7.5,5.6,4.3,22.3,21.2,0.9,1610612764
3,4,Indiana Pacers,19,10,9,0.526,48.0,91.6,33.6,74.5,45.1,7.3,19.3,38.0,17.0,23.4,72.7,8.2,31.3,39.5,18.8,13.6,7.1,4.2,4.3,20.7,21.6,-1.0,1610612754
4,4,Oklahoma City Thunder,19,10,9,0.526,49.3,102.5,36.6,81.4,45.0,7.5,23.3,32.3,21.8,26.6,82.0,11.2,34.1,45.2,19.3,15.1,6.3,6.2,3.1,23.0,22.2,-1.1,1610612760
5,6,Los Angeles Clippers,13,6,7,0.462,48.0,108.8,39.4,85.4,46.1,9.2,25.8,35.5,20.8,28.5,73.0,11.4,28.4,39.8,23.8,12.6,9.4,4.4,4.8,24.3,24.1,2.0,1610612746
6,7,Portland Trail Blazers,11,5,6,0.455,49.4,104.3,38.4,87.7,43.7,7.9,22.8,34.7,19.6,24.6,79.7,11.7,32.5,44.2,17.5,13.8,5.9,6.0,4.3,22.5,23.3,-6.3,1610612757
7,8,Atlanta Hawks,7,3,4,0.429,48.0,92.4,30.3,78.7,38.5,11.3,32.9,34.3,20.6,24.9,82.8,9.1,30.1,39.3,16.9,13.6,6.6,4.6,6.3,20.9,22.6,-1.0,1610612737
8,8,Dallas Mavericks,7,3,4,0.429,48.0,101.1,39.1,86.7,45.1,8.4,22.4,37.6,14.4,18.9,76.5,11.7,29.0,40.7,19.1,11.4,6.6,4.1,3.6,20.3,19.6,-2.0,1610612742
9,8,Golden State Warriors,7,3,4,0.429,48.0,106.4,38.3,83.1,46.0,9.6,26.3,36.4,20.3,27.9,72.8,13.1,29.6,42.7,24.4,17.3,7.0,4.6,5.1,25.3,23.0,-4.4,1610612744
10,8,Memphis Grizzlies,7,3,4,0.429,50.9,96.7,36.7,88.1,41.7,4.4,15.3,29.0,18.9,25.9,72.9,12.9,29.9,42.7,21.7,11.1,9.0,2.4,7.6,20.9,23.0,-5.4,1610612763
11,8,Toronto Raptors,7,3,4,0.429,48.0,96.1,32.7,74.1,44.1,6.6,21.0,31.3,24.1,29.0,83.3,10.1,31.6,41.7,17.7,15.3,5.6,3.0,3.6,25.9,24.1,-1.6,1610612761
12,13,Brooklyn Nets,12,5,7,0.41700000000000004,48.0,95.5,34.8,75.1,46.3,7.8,22.7,34.2,18.3,24.8,73.7,10.0,27.8,37.8,18.3,12.3,6.9,2.8,4.0,22.3,22.6,-1.3,1610612751
13,14,Houston Rockets,6,2,4,0.33299999999999996,50.5,112.0,40.8,91.7,44.5,8.2,25.7,31.8,22.2,29.8,74.3,16.7,32.5,49.2,18.3,13.8,6.0,5.0,9.2,26.0,24.8,0.3,1610612745
14,15,Chicago Bulls,5,1,4,0.2,49.0,90.0,33.2,78.6,42.2,6.4,19.2,33.3,17.2,22.8,75.4,12.2,29.6,41.8,20.2,13.2,5.0,4.4,6.6,22.0,22.2,-4.6,1610612741
15,16,Charlotte Bobcats,4,0,4,0.0,48.0,92.0,33.8,75.3,44.9,7.8,21.3,36.5,16.8,23.5,71.3,8.3,31.5,39.8,19.8,15.0,4.3,4.5,4.5,20.3,19.8,-9.8,1610612766
