Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
John Salmons,SF,1.5,3.6,40.5,0.5,1.6,34.1,0.6,0.8,72.9,0.9,2.1,45.4,1.124,0.48,58,8.0,17.1,4.1,0.2,1.9,2.1,2.0,0.7,0.2,0.9,1.6,2.2,9.72,PHI
Josh Davis,SF,1.0,2.6,37.8,0.5,1.3,35.8,0.3,0.4,82.4,0.5,1.4,39.7,1.054,0.46,42,5.0,7.8,2.8,0.7,1.2,1.9,0.3,0.2,0.1,0.4,1.1,0.8,11.41,PHI
Aaron McKie,SG,0.9,2.1,43.0,0.3,0.9,32.3,0.1,0.2,62.5,0.6,1.2,51.2,1.07,0.5,68,3.0,16.4,2.2,0.3,2.2,2.5,1.5,0.7,0.3,0.5,1.7,3.3,8.47,PHI
Brian Skinner,PF,0.9,2.4,38.6,0.0,0.0,0.0,0.2,0.7,29.4,0.9,2.3,39.3,0.86,0.39,24,0.0,10.3,2.0,1.0,1.6,2.6,0.2,0.2,0.3,0.5,1.2,0.4,13.79,PHI
Kedrick Brown,SG,0.3,0.8,33.3,0.0,0.4,0.0,1.0,1.3,80.0,0.3,0.4,66.7,2.0,0.33,8,0.0,6.9,1.5,0.1,1.3,1.4,0.5,0.4,0.1,0.6,0.5,0.8,9.68,PHI
Kevin Ollie,PG,0.4,1.2,35.5,0.0,0.0,0.0,0.2,0.3,66.7,0.4,1.2,35.5,0.903,0.35,26,0.0,6.1,1.1,0.1,0.6,0.7,0.7,0.2,0.0,0.2,0.6,3.2,6.7,PHI
Jalen Rose,SG,6.5,14.3,45.5,1.3,3.4,39.4,4.1,4.8,85.4,5.2,10.9,47.3,1.29,0.5,81,65.0,33.5,18.5,0.5,2.9,3.4,2.6,0.8,0.1,2.2,2.3,1.2,16.62,TOR
Chris Bosh,PF,5.8,12.4,47.1,0.0,0.1,30.0,5.1,6.7,76.0,5.8,12.3,47.2,1.354,0.47,81,81.0,37.2,16.8,2.4,6.5,8.9,1.9,0.9,1.4,2.3,2.8,0.8,17.54,TOR
Vince Carter,G,6.2,15.1,41.1,1.0,3.0,32.2,2.5,3.6,69.4,5.3,12.2,43.2,1.05,0.44,20,20.0,30.4,15.9,1.4,1.9,3.3,3.1,1.3,0.8,1.1,2.8,2.8,22.92,TOR
Rafer Alston,PG,5.0,12.2,41.4,1.7,4.9,35.7,2.4,3.2,74.0,3.3,7.3,45.1,1.166,0.49,80,78.0,34.0,14.2,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,3.0,16.52,TOR
Morris Peterson,SG,4.3,10.3,42.0,1.6,4.1,38.5,2.3,2.8,83.2,2.8,6.3,44.2,1.213,0.5,82,61.0,30.6,12.5,0.9,3.3,4.1,2.1,1.1,0.2,1.1,2.7,1.8,14.47,TOR
Donyell Marshall,PF,4.0,9.1,44.3,2.3,5.6,41.6,1.1,1.4,79.1,1.7,3.5,48.5,1.262,0.57,65,2.0,25.3,11.5,1.5,5.1,6.6,1.2,0.9,0.7,0.6,2.1,1.9,19.91,TOR
Matt Bonner,C,3.0,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,2.5,4.5,56.1,1.272,0.58,82,0.0,18.9,7.2,1.3,2.2,3.5,0.6,0.5,0.2,0.5,2.7,1.2,14.69,TOR
Lamond Murray,SF,2.1,5.0,42.6,0.7,1.7,43.8,1.0,1.3,76.3,1.4,3.3,42.0,1.197,0.5,62,1.0,14.8,6.0,0.7,1.9,2.6,0.8,0.5,0.3,0.9,1.4,0.9,13.75,TOR
Milt Palacio,PG,2.2,4.9,44.6,0.0,0.2,16.7,1.4,1.9,74.2,2.2,4.8,45.5,1.1909999999999998,0.45,80,4.0,19.2,5.8,0.3,1.4,1.7,3.5,0.6,0.2,1.3,1.6,2.7,12.54,TOR
Eric Williams,PF,1.6,4.3,37.9,0.3,1.0,33.3,1.1,1.6,71.7,1.3,3.3,39.3,1.097,0.42,34,18.0,17.1,4.7,0.5,1.8,2.3,1.5,0.6,0.1,0.8,2.0,1.9,10.69,TOR
Omar Cook,PG,2.0,4.8,41.7,0.0,0.8,0.0,0.6,1.2,50.0,2.0,4.0,50.0,0.958,0.42,5,0.0,14.8,4.6,0.4,1.0,1.4,4.4,1.2,0.2,1.2,1.2,3.7,17.08,TOR
Loren Woods,C,1.6,3.6,43.3,0.0,0.0,0.0,0.8,1.3,57.6,1.6,3.6,43.6,1.073,0.43,45,30.0,15.8,3.9,1.8,3.1,4.9,0.4,0.2,0.9,0.8,1.7,0.5,11.35,TOR
Rafael Araujo,C,1.3,3.0,43.4,0.0,0.1,33.3,0.7,0.9,78.2,1.3,2.9,43.6,1.12,0.44,59,41.0,12.5,3.3,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,0.3,7.09,TOR
Pape Sow,PF,0.9,2.1,39.7,0.0,0.0,0.0,0.6,1.0,59.3,0.9,2.1,39.7,1.069,0.4,27,4.0,9.4,2.3,0.7,1.4,2.1,0.1,0.4,0.1,0.4,1.7,0.2,7.78,TOR
Jerome Moiso,C,0.4,1.1,33.3,0.0,0.1,0.0,1.0,1.1,88.9,0.4,1.0,37.5,1.556,0.33,8,1.0,8.6,1.8,0.8,2.1,2.9,0.0,0.3,0.4,0.8,0.9,0.0,12.3,TOR
Aaron Williams,C,0.7,1.6,41.7,0.0,0.0,0.0,0.3,0.3,85.7,0.7,1.6,41.7,1.0,0.42,23,4.0,7.2,1.6,0.4,0.8,1.3,0.1,0.0,0.1,0.3,2.0,0.3,5.97,TOR
Jason Richardson,SG,8.5,19.0,44.6,1.7,5.1,33.8,3.0,4.3,69.3,6.7,13.9,48.6,1.14,0.49,72,72.0,37.8,21.7,1.7,4.2,5.9,3.9,1.5,0.4,2.3,2.2,1.7,19.0,GS
Baron Davis,PG,6.4,16.0,40.1,2.6,7.8,34.1,4.0,5.3,75.5,3.8,8.3,45.7,1.214,0.48,28,19.0,35.3,19.5,0.6,3.3,3.9,8.3,1.8,0.4,3.3,2.6,2.5,20.82,GS
Troy Murphy,PF,5.6,13.5,41.4,0.8,2.1,39.9,3.3,4.6,73.0,4.8,11.4,41.7,1.136,0.45,70,69.0,33.9,15.4,3.6,7.2,10.8,1.4,0.8,0.5,1.5,2.7,0.9,16.86,GS
Mike Dunleavy,SG,5.2,11.5,45.1,1.4,3.5,38.8,1.7,2.2,77.9,3.8,8.0,47.9,1.168,0.51,79,79.0,32.5,13.4,1.2,4.3,5.5,2.6,1.0,0.3,1.7,2.5,1.5,14.54,GS
Speedy Claxton,PG,4.7,10.9,43.1,0.2,1.1,19.2,3.5,4.6,76.1,4.5,9.8,45.9,1.206,0.44,46,44.0,32.6,13.1,0.7,2.6,3.3,6.2,1.9,0.1,2.0,3.3,3.1,15.89,GS
Derek Fisher,PG,4.0,10.2,39.3,1.5,3.9,37.1,2.4,2.7,86.2,2.6,6.3,40.7,1.162,0.46,74,32.0,30.0,11.9,0.5,2.4,2.9,4.1,1.0,0.1,1.7,2.4,2.3,13.42,GS
Mickael Pietrus,SF,3.2,7.5,42.7,1.0,2.9,34.4,2.1,3.0,69.8,2.2,4.6,48.0,1.2690000000000001,0.49,67,3.0,20.0,9.5,1.0,1.9,2.8,1.2,0.7,0.3,1.4,2.1,0.9,14.25,GS
Clifford Robinson,PF,3.4,8.4,39.8,1.0,3.0,33.1,0.8,1.4,60.3,2.4,5.4,43.6,1.014,0.46,42,29.0,26.0,8.5,0.7,2.0,2.7,1.8,1.0,0.9,1.0,2.5,1.8,10.29,GS
Zarko Cabarkapa,SF,2.2,4.6,48.2,0.4,1.0,36.1,1.4,1.7,81.3,1.9,3.6,51.5,1.347,0.52,37,0.0,12.5,6.2,0.9,1.8,2.7,0.7,0.3,0.1,0.8,1.6,0.8,16.94,GS
Calbert Cheaney,SG,2.1,4.8,42.6,0.0,0.1,0.0,0.4,0.7,64.9,2.1,4.8,43.1,0.943,0.43,55,5.0,17.3,4.5,0.6,1.7,2.3,1.2,0.3,0.3,0.6,1.7,1.8,7.83,GS
Adonal Foyle,C,2.0,4.0,50.2,0.0,0.0,0.0,0.5,0.9,55.6,2.0,4.0,50.2,1.1320000000000001,0.5,78,50.0,21.8,4.5,2.1,3.4,5.5,0.7,0.3,2.0,0.7,2.6,1.0,12.7,GS
Eduardo Najera,PF,1.7,4.1,40.7,0.1,0.4,40.0,0.7,1.1,64.4,1.5,3.7,40.8,1.0170000000000001,0.42,42,4.0,14.5,4.2,1.3,1.5,2.8,0.9,0.4,0.2,0.8,1.7,1.2,11.23,GS
Andris Biedrins,C,1.5,2.6,57.7,0.0,0.0,0.0,0.6,1.3,47.5,1.5,2.6,58.4,1.3969999999999998,0.58,30,1.0,12.8,3.6,1.6,2.4,3.9,0.4,0.4,0.8,0.4,2.9,1.0,14.81,GS
Rodney White,SF,1.4,3.9,37.1,0.3,1.0,31.3,0.4,0.6,60.0,1.1,2.9,39.1,0.919,0.41,16,0.0,9.1,3.6,0.3,0.7,0.9,0.5,0.1,0.1,0.6,0.8,0.8,12.33,GS
Dale Davis,PF,1.3,3.0,41.3,0.0,0.0,0.0,0.6,1.1,57.9,1.3,3.0,41.3,1.028,0.41,36,3.0,16.0,3.1,1.7,2.6,4.3,0.6,0.4,0.9,0.6,2.2,1.2,13.43,GS
Ansu Sesay,SF,1.1,2.6,40.5,0.1,0.5,25.0,0.8,1.5,54.2,0.9,2.1,44.1,1.167,0.43,16,0.0,8.0,3.1,1.1,1.3,2.4,0.8,0.1,0.2,0.5,1.0,1.5,14.85,GS
Luis Alberto Flores,PG,0.9,1.8,48.1,0.3,0.6,44.4,0.1,0.1,100.0,0.6,1.2,50.0,1.185,0.56,15,0.0,4.9,2.1,0.0,0.1,0.1,0.7,0.1,0.0,0.7,0.6,1.0,10.12,GS
Nikoloz Tskitishvili,SF,0.6,1.9,30.4,0.2,0.8,20.0,0.0,0.0,0.0,0.4,1.1,38.5,0.696,0.35,12,0.0,5.2,1.3,0.1,0.9,1.0,0.5,0.0,0.3,0.4,0.8,1.2,2.68,GS
Corey Maggette,SF,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10.0,85.7,5.7,12.4,45.7,1.485,0.46,66,60.0,36.9,22.2,1.1,4.9,6.0,3.4,1.1,0.1,3.0,2.9,1.2,19.95,LAC
Elton Brand,PF,7.8,15.4,50.3,0.0,0.0,0.0,4.5,6.0,75.2,7.8,15.4,50.4,1.297,0.5,81,81.0,37.0,20.0,3.7,5.9,9.5,2.6,0.8,2.1,2.3,3.0,1.1,22.51,LAC
Bobby Simmons,SF,6.3,13.6,46.6,0.7,1.5,43.5,3.1,3.6,84.6,5.7,12.0,47.0,1.208,0.49,75,74.0,37.3,16.4,1.7,4.2,5.9,2.7,1.4,0.2,1.8,3.0,1.5,16.11,LAC
Marko Jaric,PG,3.8,9.1,41.4,1.1,3.0,37.1,1.2,1.6,72.0,2.7,6.1,43.5,1.079,0.47,50,41.0,33.1,9.9,0.4,2.8,3.2,6.1,1.7,0.3,2.0,2.1,3.1,13.94,LAC
Chris Kaman,C,3.9,7.9,49.7,0.0,0.0,0.0,1.3,1.9,66.1,3.9,7.8,49.8,1.156,0.5,63,50.0,25.9,9.1,2.1,4.6,6.7,1.2,0.4,1.1,1.8,2.9,0.6,13.19,LAC
Chris Wilcox,PF,3.1,6.1,51.4,0.0,0.0,0.0,1.6,2.7,61.1,3.1,6.1,51.4,1.295,0.51,54,25.0,18.6,7.9,1.2,3.1,4.2,0.7,0.5,0.4,1.4,2.4,0.5,13.62,LAC
Shaun Livingston,G,3.0,7.2,41.4,0.0,0.1,0.0,1.5,2.0,74.6,3.0,7.1,41.8,1.033,0.41,30,15.0,27.1,7.4,0.7,2.2,3.0,5.0,1.1,0.4,2.5,2.7,2.0,10.4,LAC
Kerry Kittles,SG,2.5,6.6,38.4,0.6,1.9,33.3,0.5,0.9,60.0,1.9,4.7,40.4,0.945,0.43,11,0.0,22.1,6.3,0.1,2.8,2.9,1.8,0.7,0.3,0.6,1.1,2.9,10.07,LAC
Zeljko Rebraca,C,2.3,4.0,56.8,0.0,0.0,0.0,1.3,1.5,85.9,2.3,4.0,56.8,1.449,0.57,58,2.0,16.0,5.8,0.8,2.3,3.2,0.4,0.2,0.7,0.8,2.2,0.5,14.06,LAC
Rick Brunson,PG,2.1,5.5,37.6,0.6,1.6,36.9,0.7,0.9,77.0,1.5,3.9,37.8,0.9890000000000001,0.43,80,39.0,24.3,5.5,0.3,2.1,2.3,5.1,1.0,0.1,1.6,1.3,3.3,11.67,LAC
Mikki Moore,C,1.9,3.9,50.2,0.0,0.1,20.0,1.4,1.8,78.7,1.9,3.8,50.7,1.38,0.5,74,4.0,15.9,5.4,1.3,2.0,3.3,0.6,0.3,0.4,0.9,2.3,0.7,12.73,LAC
Quinton Ross,SF,2.1,4.8,43.2,0.0,0.1,25.0,0.9,1.4,67.3,2.1,4.7,43.4,1.064,0.43,78,19.0,21.3,5.1,0.8,1.9,2.7,1.4,0.7,0.3,0.7,2.1,2.0,8.92,LAC
Darrick Martin,PG,1.5,4.5,32.0,0.5,1.6,27.8,0.5,0.7,62.5,1.0,2.9,34.4,0.84,0.37,11,0.0,17.3,3.8,0.3,0.6,0.9,2.5,0.5,0.0,0.5,1.7,4.7,7.26,LAC
Lionel Chalmers,PG,1.2,3.5,33.6,0.3,1.4,24.5,0.4,0.7,62.5,0.8,2.1,39.5,0.888,0.38,36,0.0,12.0,3.1,0.1,0.8,0.9,1.4,0.4,0.0,0.7,0.8,2.1,6.49,LAC
Kenny Anderson,PG,1.0,2.8,36.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,36.4,0.727,0.36,4,0.0,6.5,2.0,0.3,1.0,1.3,1.3,0.0,0.0,0.8,1.5,1.7,10.12,LAC
Mamadou N'diaye,C,0.7,1.8,40.0,0.0,0.1,0.0,0.4,0.6,57.1,0.7,1.7,42.1,1.0,0.4,11,0.0,6.5,1.8,0.8,0.8,1.6,0.1,0.1,0.5,0.0,1.8,inf,10.67,LAC
Kirk Penney,SG,0.3,0.8,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.667,0.33,4,0.0,3.0,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.0,0.5,-4.27,LAC
Maurice Baker,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,LAC
Kobe Bryant,SF,8.7,20.1,43.3,2.0,5.9,33.8,8.2,10.1,81.6,6.7,14.2,47.2,1.374,0.48,66,66.0,40.7,27.6,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,1.5,23.33,LAL
Caron Butler,SF,5.7,12.9,44.5,0.5,1.6,30.4,3.6,4.1,86.2,5.2,11.2,46.5,1.206,0.46,77,77.0,35.7,15.5,1.9,3.9,5.8,1.9,1.4,0.3,1.6,2.8,1.2,15.8,LAL
Lamar Odom,PF,5.7,12.1,47.3,0.6,1.8,30.8,3.2,4.7,69.5,5.2,10.3,50.2,1.26,0.5,64,64.0,36.3,15.2,2.1,8.1,10.2,3.7,0.7,1.0,2.5,3.3,1.5,17.31,LAL
Chucky Atkins,PG,4.7,11.1,42.6,2.1,5.5,38.7,2.0,2.5,80.3,2.6,5.5,46.6,1.225,0.52,82,82.0,35.4,13.6,0.4,2.0,2.4,4.4,0.9,0.0,1.8,2.2,2.4,13.44,LAL
Chris Mihm,C,3.7,7.4,50.7,0.0,0.0,0.0,2.3,3.4,67.8,3.7,7.3,50.9,1.3319999999999999,0.51,75,75.0,24.9,9.8,2.6,4.1,6.7,0.7,0.2,1.4,1.5,3.2,0.5,15.79,LAL
Jumaine Jones,SF,2.8,6.4,43.2,1.3,3.4,39.1,0.7,1.0,73.3,1.4,3.0,48.0,1.187,0.54,76,23.0,24.1,7.6,1.4,3.8,5.2,0.9,0.6,0.3,0.6,2.2,1.3,13.1,LAL
