,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
46,47,Eric Gordon,LAC,21,62,23,39,36.0,16.9,5.7,12.6,44.9,1.9,5.2,37.1,3.6,4.8,74.2,0.4,2.2,2.6,3.0,2.3,1.1,0.2,1.5,26.1,0,0,-3.7
47,48,Carl Landry,SAC,26,80,34,46,30.9,16.8,6.2,11.6,53.6,0.0,0.0,33.3,4.3,5.3,80.6,2.4,3.5,5.9,0.8,1.7,0.7,0.8,2.9,27.8,8,0,-1.2
48,49,Rodney Stuckey,DET,24,73,23,50,34.2,16.6,6.2,15.2,40.5,0.2,1.1,22.8,4.1,4.9,83.3,0.9,2.9,3.8,4.8,2.2,1.4,0.2,2.8,30.8,5,0,-1.5
49,50,Jason Terry,DAL,32,77,51,26,33.0,16.6,5.9,13.5,43.8,1.8,4.8,36.5,3.0,3.5,86.6,0.2,1.6,1.8,3.8,1.4,1.2,0.2,1.8,27.4,1,0,2.3
50,51,Vince Carter,ORL,33,75,54,21,30.8,16.6,5.8,13.5,42.8,1.6,4.3,36.7,3.4,4.1,84.0,0.4,3.5,3.9,3.1,1.4,0.7,0.2,2.5,27.4,1,0,6.6
51,52,Manu Ginobili,SAS,32,75,46,29,28.7,16.5,5.3,12.0,44.1,1.8,4.7,37.7,4.1,4.7,87.0,0.9,2.9,3.8,4.9,2.1,1.4,0.3,2.1,31.5,3,0,5.2
52,53,Steve Nash,PHX,36,81,53,28,32.8,16.5,6.2,12.2,50.7,1.5,3.6,42.6,2.6,2.8,93.8,0.4,2.9,3.3,11.0,3.6,0.5,0.1,1.3,35.3,49,0,4.7
53,54,Ray Allen,BOS,34,80,50,30,35.2,16.3,5.8,12.2,47.7,1.8,5.0,36.3,2.9,3.2,91.3,0.6,2.6,3.2,2.6,1.6,0.8,0.3,2.3,25.8,0,0,5.2
54,55,Caron Butler,DAL,30,74,35,39,37.6,16.3,6.1,14.2,42.8,0.6,2.0,29.0,3.6,4.3,83.8,1.4,4.8,6.2,2.1,2.2,1.6,0.3,2.6,30.4,9,0,-0.3
55,56,Luis Scola,HOU,30,82,42,40,32.6,16.2,6.8,13.3,51.4,0.0,0.1,20.0,2.5,3.3,77.9,2.1,6.5,8.6,2.1,2.0,0.8,0.3,3.0,30.9,32,0,-0.7
56,57,Russell Westbrook,OKC,21,82,50,32,34.3,16.1,5.9,14.1,41.8,0.3,1.3,22.1,4.0,5.1,78.0,1.7,3.1,4.9,8.0,3.3,1.3,0.4,2.5,35.8,24,1,3.4
57,58,Tony Parker,SAS,28,56,34,22,30.9,16.0,6.2,12.8,48.7,0.2,0.6,29.4,3.3,4.4,75.6,0.1,2.3,2.4,5.7,2.7,0.5,0.1,1.7,26.7,3,0,3.9
58,59,Andrew Bogut,MIL,25,69,40,29,32.3,15.9,6.9,13.2,52.0,0.0,0.0,0.0,2.2,3.4,62.9,3.0,7.1,10.2,1.8,1.9,0.6,2.5,3.2,38.2,37,0,3.3
59,60,Mo Williams,CLE,27,69,50,19,34.2,15.8,5.5,12.4,44.2,2.3,5.4,42.9,2.6,2.9,89.4,0.4,2.6,3.0,5.3,2.5,1.0,0.3,2.5,28.9,5,0,3.8
60,61,Jason Richardson,PHX,29,79,52,27,31.5,15.7,6.0,12.6,47.4,2.0,5.1,39.3,1.7,2.3,73.9,1.0,4.1,5.1,1.8,1.2,0.8,0.4,2.1,27.1,3,0,3.8
61,62,Josh Smith,ATL,24,81,52,29,35.4,15.7,6.2,12.3,50.5,0.0,0.1,0.0,3.2,5.2,61.8,2.8,6.0,8.7,4.2,2.4,1.6,2.1,3.0,41.2,27,1,4.9
62,63,Brandon Jennings,MIL,20,82,46,36,32.6,15.5,5.5,14.8,37.1,1.8,4.7,37.4,2.7,3.3,81.7,0.6,2.8,3.4,5.7,2.4,1.3,0.2,2.3,30.3,2,0,1.4
63,64,JR Smith,DEN,24,75,48,27,27.8,15.4,5.7,13.8,41.4,2.1,6.2,33.8,1.9,2.7,70.6,0.4,2.7,3.1,2.4,1.9,1.3,0.3,2.3,25.7,0,0,3.4
64,65,John Salmons,MIL,30,81,48,33,34.9,15.4,5.4,12.2,44.1,1.5,3.8,38.2,3.1,3.8,83.0,0.4,2.9,3.3,2.8,1.5,1.2,0.3,2.0,26.6,0,0,1.7
65,66,Wilson Chandler,NYK,23,65,23,42,35.7,15.3,6.3,13.2,47.9,0.6,2.3,26.7,2.0,2.5,80.6,1.4,3.9,5.4,2.1,1.7,0.7,0.8,2.8,27.6,4,0,-1.9
66,67,Baron Davis,LAC,31,75,27,48,33.6,15.3,5.5,13.5,40.6,1.1,3.9,27.7,3.2,3.9,82.1,0.7,2.9,3.5,8.0,2.8,1.7,0.6,2.8,35.4,18,1,-2.6
67,68,Reggie Williams,GSW,23,24,9,15,32.6,15.2,5.8,11.8,49.5,1.4,3.8,35.9,2.2,2.6,83.9,0.8,3.8,4.6,2.8,1.2,1.0,0.3,2.0,27.3,0,0,-2.2
68,69,Jeff Green,OKC,23,82,50,32,37.1,15.1,5.9,13.0,45.3,1.3,3.8,33.3,2.0,2.7,74.0,1.4,4.6,6.0,1.6,1.6,1.3,0.9,2.7,29.5,11,0,1.5
69,70,Danilo Gallinari,NYK,21,81,28,53,33.9,15.1,4.8,11.4,42.3,2.3,6.0,38.1,3.1,3.8,81.8,0.8,4.1,4.9,1.7,1.4,0.9,0.7,2.4,27.0,5,0,-1.6
70,71,Andrew Bynum,LAL,22,65,47,18,30.4,15.0,6.0,10.6,57.0,0.0,0.0,0.0,3.0,4.0,73.9,2.7,5.6,8.3,1.0,1.8,0.5,1.4,3.0,30.8,21,0,4.2
71,72,Trevor Ariza,HOU,24,72,37,35,36.5,14.9,5.5,13.9,39.4,1.9,5.7,33.4,2.1,3.2,64.9,1.1,4.5,5.6,3.8,2.2,1.8,0.6,2.3,32.0,6,1,-0.2
72,73,Michael Beasley,MIA,21,78,44,34,29.8,14.8,6.0,13.3,45.0,0.4,1.3,27.5,2.5,3.1,80.0,1.6,4.8,6.4,1.3,1.7,1.0,0.6,2.8,27.7,11,0,0.2
73,74,Marc Gasol,MEM,25,69,35,34,35.8,14.6,5.5,9.4,58.1,0.0,0.0,0.0,3.7,5.4,67.0,3.0,6.3,9.3,2.4,2.0,1.0,1.6,3.7,35.1,28,0,1.6
74,75,Troy Murphy,IND,30,72,25,47,32.6,14.6,5.3,11.3,47.2,1.8,4.6,38.4,2.1,2.7,79.8,1.8,8.4,10.2,2.1,1.4,1.0,0.5,2.4,33.0,39,0,-3.7
75,76,Marcus Thornton,NOH,23,73,33,40,25.6,14.5,5.5,12.1,45.1,1.6,4.3,37.4,2.0,2.4,81.4,1.0,1.9,2.9,1.6,1.0,0.8,0.2,1.7,22.1,0,0,-1.1
76,77,Kevin Garnett,BOS,34,69,44,25,29.9,14.3,5.8,11.2,52.1,0.0,0.1,20.0,2.7,3.2,83.7,1.1,6.2,7.3,2.7,1.5,1.0,0.8,2.5,31.1,10,0,4.5
77,78,Al Horford,ATL,24,81,52,29,35.1,14.2,5.8,10.5,55.1,0.0,0.0,100.0,2.6,3.3,78.9,2.9,7.0,9.9,2.3,1.5,0.7,1.1,2.8,33.6,39,0,5.7
78,79,Andray Blatche,WAS,23,81,26,55,27.9,14.1,5.9,12.3,47.8,0.2,0.5,29.5,2.1,2.9,74.4,2.0,4.3,6.3,2.1,2.2,1.0,0.9,2.7,28.3,16,0,-3.5
79,80,Rashard Lewis,ORL,30,72,52,20,32.9,14.1,4.9,11.2,43.5,2.3,5.9,39.7,2.0,2.5,80.6,0.9,3.6,4.4,1.5,1.5,1.1,0.4,2.5,24.5,4,0,4.8
80,81,Kevin Love,MIN,21,60,12,48,28.6,14.0,4.9,10.8,45.0,0.6,1.8,33.0,3.8,4.6,81.5,3.8,7.2,11.0,2.3,2.0,0.7,0.4,2.3,31.9,36,0,-3.8
81,82,Lou Williams,PHI,23,64,23,41,29.9,14.0,5.0,10.6,47.0,1.1,3.2,34.0,3.0,3.6,82.4,0.4,2.5,2.9,4.2,1.7,1.3,0.2,1.7,26.6,2,0,-1.6
82,83,Andre Miller,POR,34,82,50,32,30.5,14.0,4.9,11.1,44.5,0.2,1.0,20.0,3.9,4.8,82.1,1.0,2.3,3.2,5.4,2.1,1.1,0.1,2.1,27.6,9,0,3.6
83,84,Kelenna Azubuike,GSW,26,9,3,6,25.7,13.9,5.3,9.8,54.5,1.1,3.0,37.0,2.1,3.1,67.9,1.3,3.2,4.6,1.1,0.8,0.6,1.0,1.8,24.9,0,0,-4.6
84,85,Nene,DEN,27,82,53,29,33.6,13.8,5.1,8.7,58.7,0.0,0.0,0.0,3.6,5.1,70.4,2.0,5.6,7.6,2.5,1.5,1.4,1.0,3.4,32.4,14,0,3.9
85,86,Thaddeus Young,PHI,22,67,23,44,32.0,13.8,5.7,12.1,47.0,0.7,2.1,34.8,1.7,2.5,69.1,1.9,3.3,5.2,1.4,1.9,1.2,0.2,2.0,24.7,6,0,-2.1
86,87,Ben Gordon,DET,27,62,18,44,27.9,13.8,4.7,11.3,41.6,1.2,3.8,32.1,3.2,3.7,86.1,0.4,1.5,1.9,2.7,1.9,0.8,0.1,2.4,20.9,0,0,-3.1
87,88,Allen Iverson,PHI,35,28,10,18,30.9,13.8,4.9,11.3,43.0,0.3,0.9,36.0,3.7,4.7,79.4,0.6,2.3,2.8,4.0,2.3,0.7,0.1,1.7,23.2,0,0,-1.5
88,89,Rajon Rondo,BOS,24,81,49,32,36.6,13.7,5.7,11.2,50.8,0.2,1.0,21.3,2.2,3.5,62.1,1.2,3.2,4.4,9.8,3.0,2.3,0.1,2.4,38.1,40,2,3.7
89,90,Jermaine O'Neal,MIA,31,70,37,33,28.4,13.6,5.6,10.6,52.9,0.0,0.0,0.0,2.3,3.2,72.0,1.8,5.2,6.9,1.3,1.8,0.4,1.4,3.0,27.2,14,0,2.7
90,91,Mehmet Okur,UTA,31,73,45,28,29.4,13.5,4.9,10.6,45.8,1.1,2.9,38.5,2.7,3.3,82.0,1.8,5.2,7.1,1.6,1.7,0.5,1.1,3.1,27.6,13,0,2.5
91,92,Jonny Flynn,MIN,21,81,15,66,28.9,13.5,4.9,11.8,41.7,1.0,2.7,35.8,2.8,3.3,82.6,0.3,2.1,2.4,4.4,2.9,1.0,0.0,1.2,23.2,0,0,-7.7
92,93,Tayshaun Prince,DET,30,49,12,37,34.0,13.5,5.8,11.8,48.6,0.6,1.5,37.0,1.4,2.0,71.4,1.4,3.6,5.1,3.3,1.2,0.7,0.4,1.6,26.7,2,0,-3.0
93,94,Elton Brand,PHI,31,76,27,49,30.2,13.1,5.4,11.3,48.0,0.0,0.0,0.0,2.3,3.1,73.8,2.4,3.7,6.1,1.4,1.7,1.1,1.1,3.1,27.2,7,0,-0.9
94,95,Anthony Morrow,GSW,24,69,24,45,29.2,13.0,4.8,10.2,46.8,2.0,4.4,45.6,1.5,1.7,88.6,0.9,2.9,3.8,1.5,1.2,0.9,0.2,2.3,22.1,3,0,-0.9
95,96,Corey Brewer,MIN,24,82,15,67,30.3,13.0,5.0,11.6,43.1,1.0,2.9,34.6,2.0,3.1,64.8,0.9,2.5,3.4,2.4,2.0,1.4,0.4,2.7,24.0,1,0,-6.2
96,97,Beno Udrih,SAC,27,79,24,55,31.3,12.9,5.3,10.6,49.3,0.9,2.5,37.7,1.5,1.8,83.7,0.5,2.3,2.8,4.7,1.7,1.1,0.1,2.1,25.4,6,1,-2.2
97,98,Josh Howard,WAS,30,35,21,14,26.2,12.7,4.5,11.1,40.5,0.7,2.5,26.7,3.1,4.0,78.4,0.9,2.7,3.6,1.4,1.3,0.7,0.3,2.6,20.9,0,0,0.0
98,99,Peja Stojakovic,NOH,33,62,32,30,31.4,12.6,4.5,11.1,40.4,2.1,5.7,37.5,1.5,1.7,89.7,0.6,3.0,3.7,1.5,0.9,0.8,0.1,1.3,20.9,1,0,-0.6
99,100,Jameer Nelson,ORL,28,65,46,19,28.6,12.6,4.9,10.9,44.9,1.3,3.5,38.1,1.5,1.8,84.5,0.4,2.6,3.0,5.4,2.1,0.7,0.0,2.3,24.5,4,0,4.9
100,101,Jason Thompson,SAC,23,75,22,53,31.4,12.5,4.9,10.5,47.2,0.0,0.1,10.0,2.6,3.7,71.5,3.0,5.5,8.5,1.7,1.9,0.5,1.0,3.7,27.9,24,0,-3.0
101,102,Courtney Lee,NJN,24,71,11,60,33.5,12.5,4.8,10.9,43.6,1.1,3.2,33.8,1.9,2.2,86.9,0.8,2.7,3.5,1.7,1.1,1.3,0.3,1.8,23.0,0,0,-5.8
102,103,Darren Collison,NOH,22,76,34,42,27.8,12.4,4.9,10.4,47.7,0.6,1.5,40.0,1.9,2.3,85.1,0.5,2.0,2.5,5.7,2.7,1.0,0.1,1.2,24.6,14,1,-2.3
103,104,George Hill,SAS,24,78,48,30,29.2,12.4,4.5,9.5,47.8,1.0,2.4,39.9,2.3,3.0,77.2,0.5,2.1,2.6,2.9,1.3,0.9,0.3,2.8,22.2,1,0,2.6
104,105,Richard Jefferson,SAS,30,81,49,32,31.1,12.3,4.5,9.6,46.7,0.7,2.3,31.6,2.6,3.5,73.5,0.7,3.7,4.4,2.0,1.3,0.6,0.5,2.2,22.3,2,0,3.8
105,106,Raymond Felton,CHA,26,80,42,38,33.0,12.1,4.9,10.6,45.9,0.8,2.0,38.5,1.7,2.2,76.3,0.7,2.9,3.6,5.6,2.1,1.5,0.3,2.2,28.1,5,0,1.6
106,107,Shaquille O'Neal,CLE,38,53,40,13,23.4,12.0,4.9,8.7,56.6,0.0,0.0,0.0,2.1,4.3,49.6,1.8,4.9,6.7,1.5,2.0,0.3,1.2,3.2,24.7,7,0,1.8
107,108,Mike Conley,MEM,22,80,40,40,32.1,12.0,4.6,10.4,44.5,1.0,2.7,38.7,1.7,2.3,74.3,0.4,2.0,2.4,5.3,2.1,1.4,0.2,2.2,25.2,4,0,0.4
108,109,Yi Jianlian,NJN,22,52,10,42,31.8,12.0,4.4,10.8,40.3,0.3,0.8,36.6,3.0,3.7,79.8,2.2,4.9,7.2,0.9,1.5,0.7,1.0,3.3,25.6,9,0,-4.3
109,110,Shawn Marion,DAL,32,75,50,25,31.8,12.0,5.3,10.4,50.8,0.0,0.3,15.8,1.4,1.9,75.5,2.1,4.3,6.4,1.4,1.3,0.9,0.8,1.9,25.6,6,0,3.1
110,111,Michael Redd,MIL,30,18,6,12,27.3,11.9,4.2,11.8,35.2,1.0,3.3,30.0,2.6,3.7,71.2,0.6,2.4,3.0,2.2,0.8,1.1,0.1,1.3,21.5,0,0,-5.6
111,112,Rasual Butler,LAC,31,82,29,53,33.0,11.9,4.3,10.6,40.9,1.8,5.3,33.6,1.5,1.8,84.1,0.5,2.5,2.9,1.4,1.0,0.4,0.8,1.5,20.4,0,0,-3.7
112,113,Charlie Villanueva,DET,25,78,27,51,23.7,11.9,4.7,10.6,43.9,1.3,3.6,35.1,1.4,1.7,81.5,1.1,3.6,4.7,0.7,0.9,0.6,0.7,2.9,21.6,2,0,-3.6
113,114,Andrei Kirilenko,UTA,29,58,37,21,29.0,11.9,4.2,8.3,50.6,0.4,1.5,29.2,3.0,4.0,74.4,1.3,3.2,4.6,2.7,1.4,1.4,1.2,1.8,28.0,1,0,4.1
114,115,Raja Bell,GSW,33,6,2,4,30.1,11.8,4.7,10.2,45.9,2.0,4.5,44.4,0.5,0.5,100.0,0.8,3.0,3.8,2.2,0.8,0.7,0.3,2.5,21.9,0,0,4.7
115,116,Anthony Tolliver,GSW,25,46,17,29,31.0,11.7,4.2,9.8,43.0,1.1,3.3,32.9,2.2,2.9,76.9,1.8,5.1,7.0,1.9,1.0,0.7,0.7,2.8,26.1,12,0,-0.2
116,117,Earl Barron,NYK,28,7,3,4,33.1,11.7,4.3,9.7,44.1,0.0,0.0,0.0,3.1,4.1,75.9,4.4,6.6,11.0,1.1,1.6,0.6,0.6,3.4,28.5,2,0,0.7
117,118,Roy Hibbert,IND,23,81,31,50,25.1,11.7,4.8,9.7,49.5,0.0,0.1,50.0,2.1,2.8,75.4,2.2,3.5,5.7,2.0,1.8,0.4,1.6,3.5,25.7,10,0,0.1
118,119,Anthony Randolph,GSW,20,33,11,22,22.7,11.6,4.2,9.4,44.3,0.0,0.2,20.0,3.3,4.1,80.1,2.2,4.3,6.5,1.3,1.5,0.8,1.5,2.8,27.1,5,0,-2.2
119,120,Paul Millsap,UTA,25,82,53,29,27.8,11.6,4.7,8.7,53.8,0.0,0.1,11.1,2.2,3.2,69.3,2.3,4.5,6.8,1.6,1.4,0.8,1.2,3.5,26.8,12,0,4.0
120,121,Kenyon Martin,DEN,32,58,39,19,34.2,11.5,4.9,10.7,45.6,0.1,0.5,27.6,1.6,2.9,55.7,2.4,7.0,9.4,1.9,1.6,1.2,1.1,3.2,30.9,23,0,2.3
121,122,Jarrett Jack,TOR,26,82,40,42,27.4,11.4,3.9,8.2,48.1,1.0,2.4,41.2,2.5,2.9,84.2,0.4,2.3,2.7,5.0,2.0,0.7,0.1,1.8,22.6,2,0,-1.2
