,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Luka Doncic,DAL,22,7,3,4,40.1,35.7,13.7,28.0,49.0,4.4,10.9,40.8,3.9,7.3,52.9,0.6,7.3,7.9,10.3,4.6,1.3,0.4,2.4,61.1,4,1,1.0
1,2,Damian Lillard,POR,30,6,2,4,41.3,34.3,10.3,22.3,46.3,5.8,13.0,44.9,7.8,8.3,94.0,0.2,4.2,4.3,10.2,2.2,1.0,0.7,1.5,57.6,5,0,4.5
2,3,Kevin Durant,BKN,32,12,7,5,40.4,34.3,12.1,23.5,51.4,2.8,6.8,40.2,7.3,8.4,87.1,0.4,8.8,9.3,4.4,3.5,1.5,1.6,2.6,57.7,6,1,2.8
3,4,Donovan Mitchell,UTA,24,10,6,4,34.6,32.3,10.5,23.5,44.7,5.0,11.5,43.5,6.3,7.6,82.9,0.3,3.9,4.2,5.5,2.8,1.1,0.2,2.0,46.7,1,0,1.9
4,5,Jayson Tatum,BOS,23,5,1,4,36.9,30.6,9.4,22.2,42.3,2.8,7.2,38.9,9.0,9.8,91.8,0.6,5.2,5.8,4.6,2.6,1.2,1.6,3.0,50.3,0,0,-11.6
5,6,Kawhi Leonard,LAC,30,11,6,5,39.2,30.4,11.1,19.4,57.3,2.2,5.5,39.3,6.0,6.8,88.0,2.0,5.7,7.7,4.4,2.2,2.1,0.8,2.6,52.7,4,0,2.5
6,7,Ja Morant,MEM,21,5,1,4,40.5,30.2,11.0,22.6,48.7,2.0,6.2,32.3,6.2,8.0,77.5,1.4,3.4,4.8,8.2,3.4,0.4,0.0,1.8,46.1,2,0,-10.0
7,8,Giannis Antetokounmpo,MIL,26,21,14,7,38.1,30.2,11.9,20.9,56.9,0.6,3.3,18.6,5.8,9.8,58.7,2.8,10.0,12.8,5.1,3.0,1.0,1.2,2.9,56.8,18,1,6.2
8,9,Bradley Beal,WAS,28,5,1,4,39.1,30.0,11.2,24.6,45.5,1.4,6.4,21.9,6.2,7.2,86.1,1.2,5.0,6.2,4.2,4.0,0.8,0.6,1.2,43.9,1,0,-12.2
9,10,Nikola Jokic,DEN,26,10,4,6,34.5,29.8,11.6,22.8,50.9,2.0,5.3,37.7,4.6,5.5,83.6,3.7,7.9,11.6,5.0,2.4,0.6,0.9,2.3,53.3,6,1,-5.9
10,11,Trae Young,ATL,22,16,9,7,37.7,28.8,9.4,22.4,41.8,2.8,9.0,31.3,7.3,8.4,86.6,0.4,2.4,2.8,9.5,4.0,1.3,0.0,2.2,46.2,8,0,-0.4
11,12,Joel Embiid,PHI,27,11,6,5,32.4,28.1,9.2,17.9,51.3,1.5,3.7,39.0,8.3,9.9,83.5,1.5,9.1,10.5,3.4,3.8,1.0,1.5,3.0,49.3,5,0,11.0
12,13,Devin Booker,PHX,24,22,14,8,40.4,27.3,9.6,21.5,44.7,2.0,6.2,32.1,6.0,6.7,90.5,0.7,5.0,5.6,4.5,3.7,0.8,0.2,3.5,40.2,4,1,5.1
13,14,Paul George,LAC,31,19,10,9,40.9,26.9,8.7,19.7,44.1,2.7,8.0,33.6,6.8,8.1,84.4,0.9,8.7,9.6,5.4,3.5,1.0,0.5,3.1,47.6,10,0,3.8
14,15,Dillon Brooks,MEM,25,5,1,4,34.9,25.8,10.0,19.4,51.5,1.6,4.0,40.0,4.2,5.2,80.8,1.0,3.2,4.2,2.2,1.8,1.4,0.4,3.4,37.7,0,0,-1.2
15,16,Khris Middleton,MIL,29,23,16,7,40.1,23.6,8.6,19.7,43.8,2.6,7.6,34.3,3.7,4.2,88.7,1.1,6.5,7.6,5.1,3.2,1.5,0.2,2.5,42.2,7,0,5.2
16,17,LeBron James,LAL,36,6,2,4,37.3,23.3,9.0,19.0,47.4,3.0,8.0,37.5,2.3,3.8,60.9,1.2,6.0,7.2,8.0,4.2,1.5,0.3,1.2,45.3,2,0,1.7
17,18,Kyrie Irving,BKN,29,9,6,3,36.1,22.7,8.6,18.1,47.2,2.7,7.2,36.9,2.9,3.1,92.9,1.3,4.4,5.8,3.4,1.2,1.0,0.6,2.1,38.2,1,0,11.4
18,19,Tobias Harris,PHI,28,12,7,5,36.5,21.8,8.8,17.9,48.8,1.3,3.6,37.2,2.9,3.3,87.5,0.8,7.7,8.5,3.5,1.5,1.0,0.4,2.4,40.0,4,0,4.4
19,20,CJ McCollum,POR,29,6,2,4,39.9,20.7,8.3,19.0,43.9,2.3,7.0,33.3,1.7,2.2,76.9,1.0,5.0,6.0,4.3,2.0,0.3,0.7,4.2,35.4,0,0,-1.2
20,21,James Harden,BKN,31,9,6,3,35.7,20.2,5.7,12.0,47.2,2.7,7.3,36.4,6.2,6.9,90.3,0.8,5.6,6.3,8.6,2.9,1.7,0.7,2.6,44.8,3,1,6.1
